Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","1993","1993","tonnes","358100","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","1994","1994","tonnes","553583","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","1995","1995","tonnes","509500","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","1996","1996","tonnes","295000","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","1997","1997","tonnes","187200","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","1998","1998","tonnes","463000","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","1999","1999","tonnes","550000","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2000","2000","tonnes","1164000","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2001","2001","tonnes","1031000","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2002","2002","tonnes","657000","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2003","2003","tonnes","1603103","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2004","2004","tonnes","575020","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2005","2005","tonnes","862146","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2006","2006","tonnes","526206","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2007","2007","tonnes","600238","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2008","2008","tonnes","1100050","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2009","2009","tonnes","1735594","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2010","2010","tonnes","1698234","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2011","2011","tonnes","1654282","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2012","2012","tonnes","1639039","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2013","2013","tonnes","1618381.9","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2014","2014","tonnes","1041261.15","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2015","2015","tonnes","1259358.46","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2016","2016","tonnes","2482652.61","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2017","2017","tonnes","1076877.04","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2018","2018","tonnes","1141066.78","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2019","2019","tonnes","1361283.99","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2020","2020","tonnes","1054865.9","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","0111","Wheat","2021","2021","tonnes","1836360.63","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","1993","1993","1000 US$","56800","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","1994","1994","1000 US$","129613","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","1995","1995","1000 US$","132000","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","1996","1996","1000 US$","76000","I","Imputed value"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","1997","1997","1000 US$","34400","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","1998","1998","1000 US$","81000","I","Imputed value"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","1999","1999","1000 US$","77000","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2000","2000","1000 US$","163000","I","Imputed value"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2001","2001","1000 US$","150000","I","Imputed value"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2002","2002","1000 US$","98500","I","Imputed value"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2003","2003","1000 US$","362391","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2004","2004","1000 US$","176643","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2005","2005","1000 US$","224444","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2006","2006","1000 US$","135000","I","Imputed value"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2007","2007","1000 US$","210000","I","Imputed value"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2008","2008","1000 US$","465194","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2009","2009","1000 US$","490000","I","Imputed value"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2010","2010","1000 US$","475000","I","Imputed value"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2011","2011","1000 US$","615000","I","Imputed value"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2012","2012","1000 US$","539244","I","Imputed value"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2013","2013","1000 US$","640000","I","Imputed value"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2014","2014","1000 US$","386077","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2015","2015","1000 US$","433174","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2016","2016","1000 US$","733276","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2017","2017","1000 US$","328545","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2018","2018","1000 US$","397777","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2019","2019","1000 US$","458423","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2020","2020","1000 US$","429902","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5622","Import Value","0111","Wheat","2021","2021","1000 US$","938626","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","1998","1998","tonnes","20","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","1999","1999","tonnes","20","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2000","2000","tonnes","1.65","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2001","2001","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2002","2002","tonnes","94","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2003","2003","tonnes","58","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2004","2004","tonnes","54","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2005","2005","tonnes","195","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2006","2006","tonnes","0","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2007","2007","tonnes","1","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2008","2008","tonnes","35","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2009","2009","tonnes","1","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2010","2010","tonnes","5","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2011","2011","tonnes","1000","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2012","2012","tonnes","70865","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2013","2013","tonnes","4484","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2014","2014","tonnes","5280","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2015","2015","tonnes","2360.34","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2016","2016","tonnes","0.03","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2018","2018","tonnes","0.01","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2019","2019","tonnes","1.37","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5910","Export Quantity","0111","Wheat","2020","2020","tonnes","0.3","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","1998","1998","1000 US$","13","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","1999","1999","1000 US$","8","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2000","2000","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2001","2001","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2002","2002","1000 US$","15","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2003","2003","1000 US$","16","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2004","2004","1000 US$","12","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2005","2005","1000 US$","29","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2006","2006","1000 US$","0","T","Unofficial figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2007","2007","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2008","2008","1000 US$","124","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2009","2009","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2010","2010","1000 US$","5","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2011","2011","1000 US$","239","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2012","2012","1000 US$","36345","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2013","2013","1000 US$","1515","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2014","2014","1000 US$","1684","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2015","2015","1000 US$","676","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2016","2016","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2018","2018","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2019","2019","1000 US$","2","A","Official figure"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export Value","0111","Wheat","2020","2020","1000 US$","1","A","Official figure"
